emotion,outcome,estimate,se,df,t,p_raw,ci95_low,ci95_high,n_ratings,n_workers,p_holm,significant
fear,believability,1.12,0.5296455838052883,11.21355594318465,2.114621615370141,0.05764235554371372,-0.0430391356637394,2.2830391356637394,100,18,1.0,False
fearsConfirmed,naturalness,1.3400000000000007,0.5352299609617451,11.21355594318465,2.5035967672515542,0.02895359547180933,0.16469823177619514,2.5153017682238064,100,18,1.0,False
fearsConfirmed,emotion_match,2.0,0.5480632566897122,11.21355594318465,3.6492138007571384,0.0037096892133955035,0.7965178303388076,3.2034821696611924,100,18,0.29677513707164027,False
fearsConfirmed,coordination,0.8800000000000008,0.5398435987497779,11.21355594318465,1.630101759172453,0.130823443455009,-0.3054327718030434,2.065432771803045,100,18,1.0,False
fearsConfirmed,believability,1.5,0.6006366992154614,11.21355594318465,2.497349898797838,0.029279204528326015,0.18107276098750158,2.818927239012498,100,18,1.0,False
gloating,naturalness,0.8200000000000012,0.3472047106695287,11.21355594318465,2.3617191092216534,0.03729525409036999,0.057579470229437324,1.5824205297705651,100,18,1.0,False
gloating,emotion_match,0.9800000000000004,0.3830752754572745,11.21355594318465,2.558243934772822,0.02625215283625735,0.1388119473006567,1.8211880526993443,100,18,1.0,False
gloating,coordination,0.580000000000001,0.28533021805152947,11.21355594318465,2.0327324738358254,0.06645069128770595,-0.04655145313813025,1.206551453138132,100,18,1.0,False
gloating,believability,1.0,0.38906154897251016,11.21355594318465,2.570287407329108,0.025690873045625603,0.1456667978122279,1.854333202187772,100,18,1.0,False
gratification,naturalness,1.4400000000000004,0.44258834648513345,11.21355594318465,3.2535876993507102,0.007505349116072742,0.4681282735283828,2.411871726471618,100,18,0.5478904854733102,False
gratification,emotion_match,1.5200000000000014,0.45155533683284294,11.21355594318465,3.3661433627628146,0.006135088295866577,0.5284378219842072,2.5115621780157955,100,18,0.4654889445017652,False
gratification,coordination,0.9000000000000004,0.39082818049197365,11.21355594318465,2.302802215713008,0.0414052835051625,0.04178748368546592,1.7582125163145348,100,18,1.0,False
gratification,believability,1.4000000000000004,0.4800833261007927,11.21355594318465,2.9161604327538604,0.013778698169473112,0.34579372752760396,2.4542062724723968,100,18,0.8405005883378598,False
gratitude,naturalness,1.12,0.3853656272511428,11.21355594318465,2.906330821430776,0.014025210074908404,0.27378260531772436,1.9662173946822759,100,18,0.8415126044945043,False
gratitude,emotion_match,1.5,0.4342861319964575,11.21355594318465,3.4539440463004136,0.005245271447202389,0.5463589558152651,2.453641044184735,100,18,0.41437644432898874,False
gratitude,coordination,0.6599999999999993,0.4327585932133527,11.21355594318465,1.5250996984238165,0.15493016081499747,-0.29028674946329014,1.6102867494632886,100,18,1.0,False
gratitude,believability,1.12,0.4792308652645636,11.21355594318465,2.337078183354685,0.03896394758138437,0.06766563082382682,2.1723343691761734,100,18,1.0,False
happyfor,naturalness,1.1,0.5506117809612626,11.21355594318465,1.9977778137612874,0.07058208816410841,-0.10907842790752098,2.3090784279075214,100,18,1.0,False
happyfor,emotion_match,1.8399999999999999,0.5870226192878394,11.21355594318465,3.1344618410654093,0.00929689367380002,0.5509676722942658,3.129032327705734,100,18,0.6507825571660014,False
happyfor,coordination,1.1399999999999997,0.44088799283063074,11.21355594318465,2.585690739003492,0.024990149007503095,0.1718620492930122,2.108137950706987,100,18,1.0,False
happyfor,believability,1.4800000000000004,0.5612050526421793,11.21355594318465,2.637182243873415,0.022781399597606986,0.24765999885116652,2.712340001148834,100,18,1.0,False
hope,naturalness,0.5200000000000005,0.3799064212261869,11.21355594318465,1.3687581229126036,0.19786953568364704,-0.3142296231406756,1.3542296231406765,100,18,1.0,False
