emotion,outcome,estimate,se,df,t,p_raw,ci95_low,ci95_high,n_ratings,n_workers,p_holm,significant
distress,naturalness,4.800000000000001,0.4764591622934052,10.88709677419355,1.6790526099849834,0.06078886041870125,3.7499920857440667,5.850007914255935,50,15,1.0,False
distress,emotion_match,5.200000000000001,0.3082999981980034,10.88709677419355,3.8923127052025146,0.0012789870937178272,4.520576738382361,5.879423261617641,50,15,0.10871390296601531,False
distress,coordination,4.6800000000000015,0.4486919259853519,10.88709677419355,1.515516461560311,0.07906187856473858,3.691184775879631,5.6688152241203715,50,15,1.0,False
distress,believability,4.800000000000001,0.4446721638840612,10.88709677419355,1.7990782085666681,0.049876383743778195,3.8200434197127446,5.779956580287257,50,15,1.0,False
fear,naturalness,4.5,0.4820235125662095,10.781599403684375,1.0372937978441898,0.16115182128441594,3.4364454695807147,5.563554530419285,50,15,1.0,False
fear,emotion_match,4.96,0.3640634865270373,10.781599403684375,2.6369027258346196,0.011735472404177815,4.156716839818294,5.763283160181706,50,15,0.8707353716098113,False
fear,coordination,4.58,0.437883799908403,10.781599403684375,1.324552313013921,0.10635481220813102,3.613836966353743,5.546163033646257,50,15,1.0,False
fear,believability,4.6000000000000005,0.4663999237659554,10.781599403684375,1.2864496099297973,0.11261179877699708,3.5709179345471123,5.629082065452889,50,15,1.0,False
fearsConfirmed,naturalness,4.880000000000001,0.42266876971085643,10.781599403684375,2.082008568085123,0.0309947177128945,3.9474079724876905,5.812592027512311,50,15,1.0,False
fearsConfirmed,emotion_match,5.34,0.3729998510574622,10.781599403684375,3.5924947321053144,0.002179634781562114,4.516999314149863,6.163000685850137,50,15,0.18308932165121755,False
fearsConfirmed,coordination,4.860000000000001,0.4395351079391852,10.781599403684375,1.9566127584943505,0.03839249296514322,3.8901934591565404,5.829806540843462,50,15,1.0,False
fearsConfirmed,believability,4.9,0.4368778115471445,10.781599403684375,2.060072579133214,0.032183752594488337,3.9360566163319555,5.863943383668045,50,15,1.0,False
gloating,naturalness,4.840000000000002,0.5379384516631787,10.88709677419355,1.5615169307992764,0.07349062931517655,3.654505677863132,6.025494322136871,50,15,1.0,False
gloating,emotion_match,4.780000000000001,0.48887171687013725,10.88709677419355,1.5955105870998845,0.06959658961900593,3.702637631106302,5.8573623688937,50,15,1.0,False
gloating,coordination,4.920000000000001,0.500843732559812,10.88709677419355,1.8369002948242588,0.04682552306984748,3.8162540242442855,6.023745975755716,50,15,1.0,False
gloating,believability,4.720000000000001,0.5184506833934267,10.88709677419355,1.3887531120363634,0.09633116731585065,3.5774522985471187,5.862547701452883,50,15,1.0,False
gratification,naturalness,5.080000000000001,0.5064999725786985,10.88709677419355,2.1322804708191643,0.02830415643142004,3.9637889542975255,6.196211045702476,50,15,1.0,False
gratification,emotion_match,5.0200000000000005,0.44561069207200243,10.88709677419355,2.2889935500811265,0.02154222277950011,4.0379751164811575,6.0020248835188434,50,15,1.0,False
gratification,coordination,4.88,0.48981629209327054,10.88709677419355,1.7965919349869865,0.05008314345799691,3.800556001580853,5.959443998419147,50,15,1.0,False
gratification,believability,5.0200000000000005,0.49612722382693564,10.88709677419355,2.05592426904557,0.03228865990149836,3.9266481396042243,6.113351860395777,50,15,1.0,False
gratitude,naturalness,4.720000000000001,0.5346400658386913,10.88709677419355,1.3467004177297015,0.10272095780384487,3.541774572018322,5.8982254279816795,50,15,1.0,False
gratitude,emotion_match,4.9,0.37990642122618695,10.88709677419355,2.3690044435025817,0.018718298015221423,4.062772425145436,5.737227574854565,50,15,1.0,False
gratitude,coordination,4.68,0.4670569796312033,10.88709677419355,1.4559251433025155,0.08681871850963635,3.6507123635514476,5.709287636448552,50,15,1.0,False
gratitude,believability,4.680000000000001,0.5028363992835488,10.88709677419355,1.3523285127506242,0.1018458612943746,3.571862638799357,5.788137361200644,50,15,1.0,False
happyfor,naturalness,4.900000000000001,0.49596594865194354,10.781599403684375,1.8146407075853481,0.048734695020697334,3.8056823622270537,5.994317637772949,50,15,1.0,False
happyfor,emotion_match,5.220000000000001,0.4959659486519436,10.781599403684375,2.4598462925045808,0.01604479178195245,4.125682362227053,6.314317637772948,50,15,1.0,False
happyfor,coordination,5.0200000000000005,0.4910306620885413,10.781599403684375,2.07726335390452,0.03124836201574716,3.9365717612845375,6.1034282387154635,50,15,1.0,False
happyfor,believability,4.960000000000001,0.47594584192368417,10.781599403684375,2.0170362159691537,0.03464237625300681,3.909855467179881,6.010144532820121,50,15,1.0,False
hope,naturalness,4.220000000000001,0.5137227959815597,10.781599403684375,0.42824652073235553,0.33845059467163285,3.086502996633797,5.353497003366204,50,15,1.0,False
hope,emotion_match,4.340000000000001,0.46952458224605603,10.781599403684375,0.7241367392811449,0.24219936790878074,3.3040235723513107,5.375976427648691,50,15,1.0,False
hope,coordination,4.44,0.4069507204673423,10.781599403684375,1.0812119941566987,0.15159684240108615,3.5420888584745467,5.3379111415254545,50,15,1.0,False
hope,believability,4.2,0.4683778152066747,10.781599403684375,0.42700570673217925,0.338888654272128,3.166553841618833,5.233446158381168,50,15,1.0,False
joy,naturalness,5.1000000000000005,0.4341018825626589,10.781599403684375,2.5339673569400496,0.014078500425490881,4.142181528853036,6.057818471146965,50,15,1.0,False
joy,emotion_match,5.36,0.2764858847110363,10.781599403684375,4.918876786138204,0.00024274510070790476,4.749951304001969,5.970048695998032,50,15,0.021118823761587715,True
joy,coordination,5.080000000000001,0.40862914455258553,10.781599403684375,2.6429832878966817,0.011609804954797484,4.178385521410507,5.981614478589495,50,15,0.8707353716098113,False
joy,believability,5.000000000000001,0.3981512833640556,10.781599403684375,2.5116081293291623,0.01464532904655561,4.121504262396477,5.878495737603525,50,15,1.0,False
liking,naturalness,4.600000000000001,0.45431266766402195,10.781599403684375,1.3206763594884388,0.10697792616075602,3.597587704075801,5.602412295924202,50,15,1.0,False
liking,emotion_match,4.900000000000001,0.3669332364340958,10.781599403684375,2.452762275628985,0.016246222949404636,4.090384917338885,5.709615082661117,50,15,1.0,False
liking,coordination,4.74,0.47030014057219066,10.781599403684375,1.5734632762381895,0.07223827069596553,3.7023123517368353,5.777687648263165,50,15,1.0,False
liking,believability,4.6000000000000005,0.44811704820157083,10.781599403684375,1.3389358927717254,0.10406860199286416,3.6112579483196194,5.588742051680382,50,15,1.0,False
pity,naturalness,4.7,0.4273432136143293,10.781599403684375,1.6380276501401037,0.06511985293936937,3.75709410633568,5.64290589366432,50,15,1.0,False
pity,emotion_match,4.920000000000001,0.3734642627555622,10.781599403684375,2.463421782881952,0.01594405316854409,4.095974618979157,5.744025381020845,50,15,1.0,False
pity,coordination,4.620000000000001,0.4506587770512558,10.781599403684375,1.375763729837409,0.09840030174687477,3.625649783649834,5.614350216350168,50,15,1.0,False
pity,believability,4.6000000000000005,0.4553679830642467,10.781599403684375,1.3176156917368256,0.107472096101477,3.595259217091929,5.604740782908072,50,15,1.0,False
pride,naturalness,4.5200000000000005,0.46487274244320537,10.88709677419355,1.1185856956617113,0.1436952991376903,3.4955259268439884,5.544474073156012,50,15,1.0,False
pride,emotion_match,4.660000000000001,0.4445822008732844,10.88709677419355,1.484539863952213,0.08301619912814076,3.680241677781393,5.63975832221861,50,15,1.0,False
pride,coordination,4.260000000000001,0.47878550056946756,10.88709677419355,0.5430406720561851,0.2990218362769111,3.204865363887477,5.315134636112525,50,15,1.0,False
pride,believability,4.340000000000001,0.47378382318427803,10.88709677419355,0.717626865592154,0.2440499601666442,3.29588792626979,5.384112073730211,50,15,1.0,False
relief,naturalness,4.940000000000001,0.43194649874466845,10.781599403684375,2.17619543793467,0.02634612120454746,3.9869372475361606,5.893062752463842,50,15,1.0,False
relief,emotion_match,5.340000000000001,0.4042881260795189,10.781599403684375,3.31446785982638,0.0035404348007644264,4.447963705344075,6.232036294655926,50,15,0.29031565366268297,False
relief,coordination,4.98,0.42793561301776345,10.781599403684375,2.290064136259024,0.021612008073581386,4.035787014351753,5.924212985648248,50,15,1.0,False
relief,believability,5.040000000000001,0.41891924440556955,10.781599403684375,2.4825787162767403,0.015414757889665665,4.115681063989243,5.964318936010759,50,15,1.0,False
remorse,naturalness,5.48,0.5291250639814121,10.88709677419355,2.797070297263393,0.008760700166856645,4.313928385095198,6.646071614904803,50,15,0.6833346130148182,False
remorse,emotion_match,5.880000000000001,0.3077661449867416,10.88709677419355,6.108534127692928,3.993530053787887e-05,5.201753229761344,6.558246770238657,50,15,0.0035143064473333405,True
remorse,coordination,5.300000000000001,0.5080244963472618,10.88709677419355,2.5589317234643376,0.013379952884437569,4.1804292497328,6.4195707502672015,50,15,0.9767365605639425,False
remorse,believability,5.44,0.49890546866782964,10.88709677419355,2.8863183316973218,0.007473278905002504,4.340525518188702,6.539474481811299,50,15,0.5978623124002004,False
reproach,naturalness,4.9,0.5385907537267978,10.781599403684375,1.6710275729251172,0.06172713211016442,3.711633413651389,6.088366586348611,50,15,1.0,False
reproach,emotion_match,5.0600000000000005,0.3981736081437622,10.781599403684375,2.6621553471150285,0.011222232964400598,4.1814550041757075,5.9385449958242935,50,15,0.8528897052944454,False
reproach,coordination,4.9,0.48311949292534717,10.781599403684375,1.862893162414936,0.04496228067531769,3.834027257925425,5.965972742074576,50,15,1.0,False
reproach,believability,4.76,0.5011453548289825,10.781599403684375,1.5165260790641317,0.07907224741822566,3.6542543286127898,5.865745671387209,50,15,1.0,False
resentment,naturalness,4.860000000000001,0.4706968828827695,10.88709677419355,1.8270781712701303,0.047600984033380575,3.8226908424563906,5.897309157543612,50,15,1.0,False
resentment,emotion_match,5.020000000000001,0.32872818896806255,10.88709677419355,3.102867457767971,0.005084326445757185,4.295557639832037,5.744442360167966,50,15,0.41183044210633196,False
resentment,coordination,4.800000000000001,0.44735270698235924,10.88709677419355,1.7882981091059937,0.05077851073821889,3.814136110775355,5.785863889224647,50,15,1.0,False
resentment,believability,4.760000000000001,0.4532548951748896,10.88709677419355,1.6767607103432445,0.0610166141948525,3.76112902684448,5.758870973155521,50,15,1.0,False
satisfaction,naturalness,5.040000000000001,0.48015738160639704,10.781599403684375,2.16595649643168,0.02681735374428867,3.980562970044745,6.099437029955257,50,15,1.0,False
satisfaction,emotion_match,5.540000000000001,0.4339175548931439,10.781599403684375,3.549061296630969,0.0023502214810231597,4.5825882362498405,6.497411763750161,50,15,0.19506838292492226,False
satisfaction,coordination,5.0,0.46941097842579993,10.781599403684375,2.1303293829078407,0.028520366660821833,3.964274232027771,6.035725767972229,50,15,1.0,False
satisfaction,believability,5.0600000000000005,0.4820235125662095,10.781599403684375,2.1990628514296833,0.025322047940118015,3.9964454695807152,6.123554530419286,50,15,1.0,False
shame,naturalness,4.7,0.48419463487779846,10.88709677419355,1.4456996207251798,0.08821315289669109,3.6329448588736106,5.76705514112639,50,15,1.0,False
shame,emotion_match,5.0600000000000005,0.3778771111235916,10.88709677419355,2.8051447647838827,0.008635627826409226,4.227244564285227,5.892755435714774,50,15,0.6822145982863288,False
shame,coordination,4.5,0.4640593831732219,10.88709677419355,1.0774483140089044,0.1522873926806428,3.477318386173567,5.522681613826434,50,15,1.0,False
shame,believability,4.540000000000001,0.44946387816795447,10.88709677419355,1.2014313635193064,0.12753398122268117,3.5494835683779042,5.530516431622098,50,15,1.0,False
