emotion,outcome,condition,mean,ci95_low,ci95_high,n_ratings,n_workers,n_scenarios,bootstrap_valid,bootstrap_requested,ci_status
pity,coordination,noexpression,3.6399999999999997,2.6551893939393936,4.720487179487178,50,15,5,2000,2000,ok
pity,emotion_match,expression,4.92,4.1917747668997665,5.609027389277389,50,15,5,2000,2000,ok
pity,emotion_match,noexpression,3.18,2.1148531746031742,4.335028138528139,50,15,5,2000,2000,ok
pity,naturalness,expression,4.7,3.839961538461538,5.488347222222222,50,15,5,2000,2000,ok
pity,naturalness,noexpression,3.54,2.502839160839161,4.63836616161616,50,15,5,2000,2000,ok
pride,believability,expression,4.339999999999999,3.412075174825175,5.180506493506492,50,15,5,2000,2000,ok
pride,believability,noexpression,3.6399999999999997,2.708931318681319,4.608982142857143,50,15,5,2000,2000,ok
pride,coordination,expression,4.26,3.3148876262626263,5.138920163170162,50,15,5,2000,2000,ok
pride,coordination,noexpression,4.0200000000000005,3.1285963203463205,4.891444444444445,50,15,5,2000,2000,ok
pride,emotion_match,expression,4.66,3.767839355089355,5.420055555555555,50,15,5,2000,2000,ok
pride,emotion_match,noexpression,3.5200000000000005,2.653693181818182,4.47656204906205,50,15,5,2000,2000,ok
pride,naturalness,expression,4.52,3.5759841269841264,5.320607808857809,50,15,5,2000,2000,ok
pride,naturalness,noexpression,3.56,2.7149280303030303,4.462350649350648,50,15,5,2000,2000,ok
relief,believability,expression,5.04,4.161071428571429,5.720027777777778,50,15,5,2000,2000,ok
relief,believability,noexpression,3.7,2.5880126262626266,4.8401868686868665,50,15,5,2000,2000,ok
relief,coordination,expression,4.98,4.088436868686869,5.66331764069264,50,15,5,2000,2000,ok
relief,coordination,noexpression,4.08,3.0800425685425683,5.073444444444443,50,15,5,2000,2000,ok
relief,emotion_match,expression,5.339999999999999,4.502507575757575,6.01275,50,15,5,2000,2000,ok
relief,emotion_match,noexpression,3.5199999999999996,2.38713036963037,4.682539682539682,50,15,5,2000,2000,ok
relief,naturalness,expression,4.9399999999999995,4.049645021645022,5.671164141414141,50,15,5,2000,2000,ok
relief,naturalness,noexpression,3.6399999999999997,2.569861111111111,4.754315476190472,50,15,5,2000,2000,ok
remorse,believability,expression,5.4399999999999995,4.417952776390277,6.2259913419913415,50,15,5,2000,2000,ok
remorse,believability,noexpression,3.7,2.6208106060606062,4.835013819513819,50,15,5,2000,2000,ok
remorse,coordination,expression,5.3,4.3027044483294485,6.097246212121212,50,15,5,2000,2000,ok
remorse,coordination,noexpression,4.32,3.2721120129870136,5.31133547008547,50,15,5,2000,2000,ok
remorse,emotion_match,expression,5.88,5.277511363636364,6.435730519480519,50,15,5,2000,2000,ok
remorse,emotion_match,noexpression,3.46,2.398959207459207,4.569085317460318,50,15,5,2000,2000,ok
remorse,naturalness,expression,5.48,4.391845238095238,6.333615828615827,50,15,5,2000,2000,ok
remorse,naturalness,noexpression,3.7,2.721164141414141,4.689007215007215,50,15,5,2000,2000,ok
reproach,believability,expression,4.76,3.740668650793651,5.599075369075369,50,15,5,2000,2000,ok
reproach,believability,noexpression,3.8200000000000003,2.7954583333333334,4.893040695415695,50,15,5,2000,2000,ok
reproach,coordination,expression,4.9,3.91454816017316,5.660339826839827,50,15,5,2000,2000,ok
reproach,coordination,noexpression,4.319999999999999,3.297703962703962,5.330595238095238,50,15,5,2000,2000,ok
reproach,emotion_match,expression,5.0600000000000005,4.2955284992784994,5.778384559884559,50,15,5,2000,2000,ok
reproach,emotion_match,noexpression,3.7600000000000002,2.7529835442335444,4.814953463203462,50,15,5,2000,2000,ok
reproach,naturalness,expression,4.9,3.8459794372294374,5.855246212121212,50,15,5,2000,2000,ok
reproach,naturalness,noexpression,3.8,2.776080586080586,4.927003968253969,50,15,5,2000,2000,ok
resentment,believability,expression,4.76,3.853416666666666,5.593348484848485,50,15,5,2000,2000,ok
resentment,believability,noexpression,3.5200000000000005,2.478544705294705,4.650600649350648,50,15,5,2000,2000,ok
resentment,coordination,expression,4.8,3.9220126262626267,5.578803030303031,50,15,5,2000,2000,ok
resentment,coordination,noexpression,4.08,3.1281742424242425,5.079398809523809,50,15,5,2000,2000,ok
resentment,emotion_match,expression,5.0200000000000005,4.401537518037517,5.661700757575757,50,15,5,2000,2000,ok
resentment,emotion_match,noexpression,3.44,2.45271645021645,4.481422438672439,50,15,5,2000,2000,ok
resentment,naturalness,expression,4.86,3.9266731601731597,5.75031746031746,50,15,5,2000,2000,ok
resentment,naturalness,noexpression,3.5599999999999996,2.703521825396825,4.512628968253968,50,15,5,2000,2000,ok
satisfaction,believability,expression,5.0600000000000005,4.065819597069597,5.798202755577756,50,15,5,2000,2000,ok
satisfaction,believability,noexpression,3.56,2.4181818181818184,4.7533650793650795,50,15,5,2000,2000,ok
satisfaction,coordination,expression,5.0,4.067897727272727,5.712786075036075,50,15,5,2000,2000,ok
satisfaction,coordination,noexpression,4.0200000000000005,2.941625,5.0856818181818175,50,15,5,2000,2000,ok
satisfaction,emotion_match,expression,5.54,4.678279761904761,6.219513888888888,50,15,5,2000,2000,ok
satisfaction,emotion_match,noexpression,3.4799999999999995,2.3844642857142855,4.605818903318903,50,15,5,2000,2000,ok
satisfaction,naturalness,expression,5.040000000000001,4.0596161616161615,5.801268939393939,50,15,5,2000,2000,ok
satisfaction,naturalness,noexpression,3.7600000000000002,2.7585901875901877,4.852131313131313,50,15,5,2000,2000,ok
shame,believability,expression,4.539999999999999,3.667611111111111,5.35858189033189,50,15,5,2000,2000,ok
shame,believability,noexpression,3.6,2.6788677156177156,4.655337121212121,50,15,5,2000,2000,ok
shame,coordination,expression,4.5,3.5676275252525254,5.304374999999999,50,15,5,2000,2000,ok
shame,coordination,noexpression,3.8600000000000003,2.936583333333333,4.8567222222222215,50,15,5,2000,2000,ok
shame,emotion_match,expression,5.0600000000000005,4.3410629370629366,5.780000180375179,50,15,5,2000,2000,ok
shame,emotion_match,noexpression,3.38,2.4534523809523807,4.400178571428571,50,15,5,2000,2000,ok
shame,naturalness,expression,4.7,3.7648737373737373,5.617506313131311,50,15,5,2000,2000,ok
shame,naturalness,noexpression,3.56,2.662727272727273,4.562805916305916,50,15,5,2000,2000,ok
