emotion,outcome,n_ratings,n_workers,status,mean_expression,mean_minus_4,se,z,p_greater,mean_ci95_low,mean_ci95_high,diagnostic,p_holm,significant_holm_05,few_worker_clusters
happyfor,believability,50,15,ok,5.053876468547045,1.0538764685470454,0.37055322451662903,2.8440623338841067,0.0022271166471485,4.327592148494452,5.780160788599638,,0.037860983001524504,True,True
hope,naturalness,50,15,ok,4.4770632423133945,0.4770632423133945,0.39560924412648396,1.2058950830806878,0.1139289733716623,3.7016691238254857,5.252457360801303,,0.3968573472351158,False,True
hope,emotion_match,50,15,ok,4.442848963869763,0.44284896386976325,0.35310398975529217,1.2541601814713734,0.10489189479394262,3.7507651439493905,5.134932783790136,,0.20978378958788524,False,True
hope,coordination,50,15,ok,4.659643761475981,0.6596437614759809,0.3357799226775321,1.9645122204327656,0.024735360252135824,4.001515113028018,5.317772409923943,,0.27208896277349404,False,True
hope,believability,50,15,ok,4.467292808793491,0.46729280879349133,0.3719009112027941,1.2564981550655059,0.10446770720448662,3.738367022836015,5.196218594750968,,0.5223385360224331,False,True
joy,naturalness,50,15,ok,5.293310339277836,1.293310339277836,0.3369845234247027,3.8378923937936245,6.204741834776193e-05,4.632820673365419,5.953800005190253,,0.0013650432036507625,True,True
joy,emotion_match,50,15,ok,5.410247361039271,1.4102473610392714,0.21967358929220537,6.419740149842905,6.825357655648417e-11,4.9796871260265485,5.840807596051994,,1.4333251076861676e-09,True,True
joy,coordination,50,15,ok,5.277090441096548,1.277090441096548,0.32853554145422836,3.887221563437673,5.069909701935502e-05,4.633160779846261,5.921020102346835,,0.0011153801344258103,True,True
joy,believability,50,15,ok,5.250966779172934,1.2509667791729342,0.32916878220509665,3.800380980215459,7.223689839860007e-05,4.605795966050945,5.896137592294924,,0.0015892117647692014,True,True
liking,naturalness,50,15,ok,4.542988845193707,0.5429888451937073,0.36941768561919835,1.4698507037733675,0.07080109661589469,3.8189301813800784,5.267047509007336,,0.35400548307947344,False,True
liking,emotion_match,50,15,ok,4.61874927603019,0.61874927603019,0.3411779477303772,1.8135676122865045,0.03487216024910339,3.950040498478651,5.287458053581729,,0.13025365230569363,False,True
liking,coordination,50,15,ok,4.569824734789302,0.569824734789302,0.3840325043556788,1.483792981912667,0.06893192476742925,3.8171210262521713,5.322528443326433,,0.4295880768601192,False,True
liking,believability,50,15,ok,4.446160957301215,0.4461609573012151,0.36171521186923006,1.2334592039842507,0.10870224414951501,3.7371991420375243,5.155122772564906,,0.5223385360224331,False,True
pity,naturalness,50,15,ok,4.773997729289783,0.7739977292897828,0.3626077191366895,2.1345318603049783,0.016399634251087914,4.063286599781872,5.484708858797694,,0.18039597676196706,False,True
pity,emotion_match,50,15,ok,4.952260377107198,0.9522603771071978,0.35931939387985545,2.65017806811063,0.004022467852452489,4.247994365102681,5.656526389111715,,0.033410085749881316,True,True
pity,coordination,50,15,ok,4.628376027634122,0.6283760276341219,0.40439454176597184,1.553868716649917,0.060107867590065124,3.8357627257728173,5.420989329495427,,0.4295880768601192,False,True
pity,believability,50,15,ok,4.680405956823108,0.6804059568231082,0.38646723654222015,1.7605786273392838,0.03915487433922984,3.9229301732003568,5.43788174044586,,0.34046899819407056,False,True
pride,naturalness,50,15,ok,4.474119819988115,0.4741198199881147,0.3686661124936179,1.286041227877494,0.09921433680877895,3.7515342395006237,5.196705400475606,,0.3968573472351158,False,True
pride,emotion_match,50,15,ok,4.6270287698614325,0.6270287698614325,0.33825020289926533,1.8537424796406365,0.03188800559625057,3.9640583721788722,5.289999167543993,,0.13025365230569363,False,True
pride,coordination,50,15,ok,4.247278115019328,0.24727811501932795,0.38133112197237634,0.64846035576724,0.25834362204558675,3.4998691159534703,4.994687114085186,,0.7750308661367602,False,True
pride,believability,50,15,ok,4.3292995886199765,0.32929958861997655,0.35502323480588194,0.9275437671002844,0.17682213933296032,3.633454048400448,5.0251451288395055,,0.5223385360224331,False,True
