emotion,outcome,n_ratings,n_workers,status,difference,se,z,p_two_sided,ci95_low,ci95_high,diagnostic,p_holm,significant_holm_05,few_worker_clusters
distress,emotion_match,100,18,ok,1.8712686041228725,0.48583292471887696,3.851671035275483,0.00011731454986912241,0.9190360716738737,2.8235011365718714,,0.0017597182480368363,True,True
distress,coordination,100,18,ok,0.7675672839309262,0.3464254836314737,2.215677888025876,0.02671357032408026,0.0885733360132378,1.4465612318486145,,0.4007035548612039,False,True
distress,believability,100,18,ok,1.4224534547674237,0.4645569244376945,3.061957275718534,0.0021989483633363723,0.5119218828695425,2.332985026665305,,0.043978967266727446,True,True
fear,naturalness,100,18,ok,0.8570724535924775,0.42424852663580326,2.020213152863186,0.043361282554929687,0.025545341386303155,1.688599565798652,,0.17344513021971875,False,True
fear,emotion_match,100,18,ok,1.613578098586598,0.5151009085889842,3.132547568216628,0.001732963437875837,0.603980317752189,2.623175879421007,,0.009298082610246205,True,True
fear,coordination,100,18,ok,0.6453368338253432,0.45903922254913637,1.405842468627537,0.1597709080583235,-0.254380042370964,1.5450537100216506,,0.7988545402916175,False,True
fear,believability,100,18,ok,1.1095007469015181,0.5045097043802718,2.1991663138856836,0.027866098647439528,0.12066172631618544,2.0983397674868507,,0.13933049323719765,False,True
fearsConfirmed,naturalness,100,18,ok,1.4162696800753503,0.5018764359620382,2.8219489471756676,0.004773277526174341,0.4325918655897554,2.399947494560945,,0.056973179640902295,False,True
fearsConfirmed,emotion_match,100,18,ok,1.9725405591498295,0.5242373223627071,3.762686239620834,0.00016809804173159554,0.9450354073189235,3.0000457109807357,,0.0023533725842423375,True,True
fearsConfirmed,coordination,100,18,ok,0.8721670422847134,0.510636069916415,1.7080012432875664,0.08763611178300576,-0.12867965475145993,1.8730137393208868,,0.747831668026465,False,True
fearsConfirmed,believability,100,18,ok,1.5269892634907793,0.5653423067111099,2.700999457079499,0.006913145136107665,0.418918342337004,2.635060184644555,,0.08987088676939964,False,True
gloating,naturalness,100,18,ok,0.743021807067066,0.3340993245406644,2.2239548316615356,0.02615148336131668,0.08818713096736386,1.3978564831667681,,0.1307574168065834,False,True
gloating,emotion_match,100,18,ok,1.0457641397187691,0.3615398736850381,2.8925278118280398,0.003821553462483208,0.33714598729609446,1.7543822921414438,,0.015286213849932832,True,True
gloating,coordination,100,18,ok,0.5258552452750882,0.2821085979435833,1.8640170810400112,0.06231930566887208,-0.02707760669433501,1.0787880972445114,,0.747831668026465,False,True
gloating,believability,100,18,ok,0.9993019940964046,0.38566957900257964,2.5910832705052957,0.009567433815803664,0.2433896192513485,1.7552143689414608,,0.10524177197384031,False,True
gratification,naturalness,100,18,ok,1.4316369484094462,0.4578705520977169,3.126728595779866,0.0017676302484263581,0.5342106662979211,2.3290632305209713,,0.03004971422324809,True,True
gratification,emotion_match,100,18,ok,1.5737920524490723,0.43587014546903347,3.6106901764412833,0.00030538328572720454,0.7194865673297667,2.428097537568378,,0.003969982714453659,True,True
gratification,coordination,100,18,ok,0.926494348227346,0.3903861953264849,2.3732764101776374,0.017631064116590572,0.16133740538743568,1.6916512910672563,,0.3349902182152209,False,True
gratification,believability,100,18,ok,1.4649804636901318,0.473743352380476,3.09235043896419,0.00198578270338416,0.5364434930243989,2.3935174343558647,,0.041701436771067364,True,True
gratitude,naturalness,100,18,ok,1.1069219598557023,0.39036320720252676,2.835620620570968,0.00457367403832146,0.34181007373874983,1.8720338459726547,,0.056973179640902295,False,True
gratitude,emotion_match,100,18,ok,1.5249748934731169,0.4400231737441489,3.465669502124477,0.0005289130109975305,0.6625294729345851,2.387420314011649,,0.0053399531325039285,True,True
gratitude,coordination,100,18,ok,0.7424680256093267,0.4212279090590985,1.7626278070410524,0.07796328398643672,-0.08313867614650639,1.5680747273651598,,0.747831668026465,False,True
gratitude,believability,100,18,ok,1.1392172063969233,0.4888665051482569,2.3303237067784726,0.01978904870409969,0.18103885630633976,2.097395556487507,,0.13466552062487636,False,True
happyfor,naturalness,100,18,ok,1.211996953932719,0.4985112688820179,2.431232811749258,0.01504754217090757,0.2349148669239638,2.1890790409414738,,0.12038033736726056,False,True
happyfor,emotion_match,100,18,ok,1.860133074039199,0.5621026911743601,3.309240648097519,0.0009354939194274818,0.7584117993374533,2.9618543487409448,,0.007483951355419854,True,True
happyfor,coordination,100,18,ok,1.1170600872899827,0.3944919985379994,2.8316419380617224,0.004630967481411219,0.34385577015550395,1.8902644044244616,,0.0972503171096356,False,True
